PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
104.525,0.0164734,0.0133317,0.0102887,0.0078892,0.006,0.0045893,0.0032015,0.0019852,0.0012075,0.0002175
105.209,0.0164776,0.013335,0.0102912,0.0078912,0.0060011,0.0045896,0.0032045,0.0019864,0.0012086,0.0002169
105.892,0.0164817,0.0133382,0.0102936,0.0078933,0.0060023,0.0045899,0.0032074,0.0019875,0.0012098,0.0002163
106.575,0.0164858,0.0133415,0.0102961,0.0078953,0.0060034,0.0045902,0.0032104,0.0019887,0.0012109,0.0002157
107.258,0.0164899,0.0133447,0.0102985,0.0078973,0.0060046,0.0045905,0.0032133,0.0019898,0.0012121,0.0002151
107.941,0.016494,0.013348,0.0103009,0.0078994,0.0060058,0.0045908,0.0032163,0.001991,0.0012132,0.0002145
108.624,0.0164982,0.0133512,0.0103034,0.0079014,0.0060069,0.0045911,0.0032192,0.0019921,0.0012144,0.0002139
109.307,0.0165023,0.0133545,0.0103058,0.0079035,0.0060081,0.0045914,0.0032222,0.0019933,0.0012155,0.0002133
109.99,0.0165064,0.0133577,0.0103083,0.0079055,0.0060093,0.0045917,0.0032251,0.0019944,0.0012167,0.0002127
110.674,0.0165105,0.013361,0.0103107,0.0079075,0.0060104,0.0045921,0.0032281,0.0019956,0.0012178,0.0002121
111.357,0.0165146,0.0133642,0.0103131,0.0079096,0.0060116,0.0045924,0.003231,0.0019967,0.001219,0.0002115
112.04,0.0165188,0.0133675,0.0103156,0.0079116,0.0060127,0.0045927,0.003234,0.0019978,0.0012201,0.0002109
112.723,0.0165229,0.0133707,0.010318,0.0079137,0.0060139,0.004593,0.0032369,0.001999,0.0012213,0.0002103
113.406,0.016527,0.013374,0.0103205,0.0079157,0.0060151,0.0045933,0.0032399,0.0020001,0.0012224,0.0002097
114.089,0.0165311,0.0133772,0.0103229,0.0079178,0.0060162,0.0045936,0.0032428,0.0020013,0.0012235,0.0002091
114.772,0.0165352,0.0133805,0.0103254,0.0079198,0.0060174,0.0045939,0.0032458,0.0020024,0.0012247,0.0002085
115.455,0.0165393,0.0133837,0.0103278,0.0079218,0.0060185,0.0045942,0.0032487,0.0020036,0.0012258,0.0002079
116.139,0.0165435,0.013387,0.0103302,0.0079239,0.0060197,0.0045945,0.0032517,0.0020047,0.001227,0.0002073
116.822,0.0165476,0.0133902,0.0103327,0.0079259,0.0060209,0.0045948,0.0032546,0.0020059,0.0012281,0.0002067
117.505,0.0165517,0.0133935,0.0103351,0.007928,0.006022,0.0045951,0.0032576,0.002007,0.0012293,0.0002061
118.188,0.0165558,0.0133967,0.0103376,0.00793,0.0060232,0.0045954,0.0032605,0.0020082,0.0012304,0.0002055
118.871,0.0165599,0.0134,0.01034,0.007932,0.0060243,0.0045958,0.0032635,0.0020093,0.0012316,0.0002049
119.554,0.0165641,0.0134032,0.0103424,0.0079338,0.0060255,0.0045961,0.0032659,0.0020105,0.0012327,0.0002046
120.237,0.0165676,0.013405,0.0103441,0.007935,0.0060267,0.0045966,0.0032654,0.0020116,0.0012335,0.0002049
120.92,0.0165705,0.0134062,0.0103457,0.0079362,0.0060278,0.0045974,0.0032648,0.0020112,0.001233,0.0002052
121.604,0.0165734,0.0134073,0.0103473,0.0079374,0.006029,0.0045981,0.0032643,0.0020106,0.0012324,0.0002055
