PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
296.7,0.14999,0.12182,0.09493,0.07117,0.05261,0.03514,0.02218,0.01313,0.00669
298.08,0.15007,0.12189,0.09497,0.07122,0.05263,0.03516,0.02225,0.01315,0.00669
299.45,0.15014,0.12197,0.095,0.07127,0.05266,0.03519,0.02231,0.01316,0.00669
300.82,0.15021,0.12204,0.09504,0.07133,0.05268,0.03521,0.02238,0.01317,0.00669
302.2,0.15028,0.1221,0.09507,0.07139,0.05271,0.03523,0.02245,0.01319,0.00669
303.57,0.15035,0.12217,0.0951,0.07147,0.05273,0.03526,0.02251,0.0132,0.00669
304.94,0.15041,0.12223,0.09513,0.07155,0.05276,0.03528,0.02258,0.01321,0.00669
306.32,0.15046,0.12229,0.09516,0.07165,0.05278,0.0353,0.02264,0.01322,0.00668
307.69,0.15051,0.12235,0.09519,0.07174,0.05281,0.03532,0.0227,0.01323,0.00668
309.07,0.15056,0.12241,0.09522,0.07184,0.05284,0.03533,0.02276,0.01324,0.00667
310.44,0.1506,0.12246,0.09525,0.07195,0.05287,0.03534,0.02282,0.01325,0.00667
311.81,0.15064,0.12251,0.09527,0.07205,0.0529,0.03535,0.02287,0.01326,0.00666
313.19,0.15069,0.12255,0.0953,0.07216,0.05293,0.03536,0.02293,0.01327,0.00665
314.56,0.15073,0.1226,0.09533,0.07227,0.05296,0.03537,0.02298,0.01328,0.00665
315.93,0.15077,0.12264,0.09535,0.07237,0.05299,0.03537,0.02302,0.01329,0.00664
317.31,0.15082,0.12268,0.09538,0.07248,0.05302,0.03537,0.02306,0.0133,0.00664
318.68,0.15088,0.12271,0.09541,0.07257,0.05306,0.03537,0.0231,0.01331,0.00664
320.05,0.15094,0.12274,0.09543,0.07266,0.05309,0.03538,0.02314,0.01332,0.00664
321.43,0.15101,0.12278,0.09546,0.07275,0.05312,0.03538,0.02317,0.01333,0.00664
322.8,0.15109,0.1228,0.09549,0.07282,0.05316,0.03538,0.02319,0.01334,0.00664
324.18,0.15119,0.12283,0.09552,0.07289,0.05319,0.03538,0.02321,0.01335,0.00665
325.55,0.15134,0.12286,0.09555,0.07295,0.05322,0.03539,0.02322,0.01336,0.00666
326.92,0.15156,0.12288,0.09558,0.073,0.05326,0.03539,0.02323,0.01337,0.00667
328.3,0.15189,0.1229,0.09561,0.07304,0.05329,0.0354,0.02323,0.01338,0.00669
329.67,0.15227,0.12292,0.09564,0.07307,0.05332,0.03542,0.02321,0.01339,0.0067
331.04,0.15254,0.12295,0.09567,0.0731,0.05336,0.03543,0.02319,0.0134,0.00673
332.42,0.1527,0.12296,0.09571,0.07313,0.05339,0.03545,0.02316,0.01341,0.00675
333.79,0.1528,0.12298,0.09574,0.07315,0.05342,0.03548,0.02313,0.01342,0.00678
335.16,0.15287,0.123,0.09578,0.07316,0.05346,0.03551,0.02309,0.01343,0.00681
336.54,0.15293,0.12302,0.09581,0.07317,0.05349,0.03553,0.02306,0.01344,0.00685
337.91,0.15297,0.12304,0.09585,0.07318,0.05352,0.03557,0.02303,0.01345,0.00688
339.29,0.15301,0.12306,0.09588,0.07319,0.05355,0.0356,0.023,0.01346,0.00691
340.66,0.15303,0.12308,0.09592,0.0732,0.05359,0.03564,0.02298,0.01346,0.00694
342.03,0.15305,0.1231,0.09596,0.07321,0.05362,0.03568,0.02296,0.01347,0.00697
343.41,0.15307,0.12312,0.096,0.07321,0.05365,0.03573,0.02296,0.01347,0.007
344.78,0.15308,0.12315,0.09604,0.07322,0.05368,0.03577,0.02296,0.01347,0.00702
346.15,0.15308,0.12317,0.09608,0.07322,0.05371,0.03582,0.02296,0.01347,0.00704
347.53,0.15309,0.1232,0.09612,0.07323,0.05374,0.03587,0.02298,0.01347,0.00706
348.9,0.15309,0.12323,0.09616,0.07323,0.05377,0.03593,0.023,0.01347,0.00708
350.27,0.15309,0.12326,0.09621,0.07324,0.0538,0.03598,0.02303,0.01347,0.00709
351.65,0.15309,0.12329,0.09625,0.07325,0.05383,0.03603,0.02306,0.01346,0.0071
353.02,0.15311,0.12332,0.0963,0.07326,0.05386,0.03608,0.0231,0.01346,0.0071
354.4,0.15313,0.12336,0.09634,0.07327,0.05388,0.03613,0.02314,0.01345,0.00711
355.77,0.15317,0.1234,0.09639,0.07328,0.05391,0.03618,0.02318,0.01344,0.00711
357.14,0.15323,0.12344,0.09644,0.0733,0.05393,0.03622,0.02322,0.01343,0.00711
358.52,0.15331,0.12349,0.09649,0.07332,0.05396,0.03627,0.02327,0.01342,0.00711
359.89,0.1534,0.12354,0.09654,0.07334,0.05398,0.03631,0.02332,0.01341,0.00711
361.26,0.15351,0.1236,0.09659,0.07337,0.054,0.03634,0.02337,0.0134,0.00711
362.64,0.15362,0.12366,0.09664,0.07339,0.05402,0.03638,0.02341,0.01339,0.00711
364.01,0.15375,0.12374,0.0967,0.07343,0.05404,0.03641,0.02347,0.01338,0.00711
365.38,0.15387,0.12382,0.09675,0.07346,0.05407,0.03644,0.02352,0.01337,0.00711
366.76,0.154,0.1239,0.09681,0.0735,0.05409,0.03647,0.02357,0.01337,0.0071
368.13,0.15412,0.124,0.09686,0.07354,0.05411,0.0365,0.02362,0.01336,0.0071
