PlateVoltage,0V,-5V,-10V,-15V,-20V,-25V,-30V,-35V,-40V,-45V,-50V
94.66,0.10159,0.04881,0.02044,0.00563,-6e-05,-0.00016,6e-05,-7e-06,-8e-05,-0.0001,-2e-05
95.25,0.10281,0.04945,0.0208,0.00585,-6e-05,-0.00016,6e-05,1.45998e-07,-6e-05,-0.0001,-2e-05
95.84,0.10405,0.05008,0.02117,0.00608,-6e-05,-0.00017,5e-05,7e-06,-3e-05,-0.0001,-3e-05
96.44,0.10531,0.05073,0.02155,0.00631,-6e-05,-0.00017,4e-05,1e-05,-1e-05,-0.0001,-3e-05
97.03,0.10658,0.0514,0.02193,0.00654,-5e-05,-0.00017,3e-05,2e-05,8e-06,-0.0001,-3e-05
97.62,0.10785,0.05209,0.02233,0.00678,-4e-05,-0.00018,2e-05,3e-05,3e-05,-0.0001,-4e-05
98.22,0.10913,0.05281,0.02273,0.00703,-3e-05,-0.00018,6e-06,3e-05,5e-05,-0.0001,-4e-05
98.81,0.11041,0.05354,0.02315,0.00728,-1e-05,-0.00018,-6e-06,4e-05,7e-05,-9e-05,-4e-05
99.41,0.11169,0.0543,0.02358,0.00753,3e-06,-0.00019,-2e-05,5e-05,9e-05,-9e-05,-5e-05
100,0.11297,0.05507,0.02402,0.00778,2e-05,-0.00019,-3e-05,5e-05,0.00011,-9e-05,-5e-05
100.59,0.11426,0.05587,0.02447,0.00804,4e-05,-0.0002,-4e-05,6e-05,0.00013,-8e-05,-5e-05
101.19,0.11524,0.05667,0.02493,0.0083,7e-05,-0.0002,-6e-05,6e-05,0.00014,-8e-05,-6e-05
101.78,0.11524,0.05749,0.0254,0.00857,9e-05,-0.00021,-7e-05,7e-05,0.00016,-7e-05,-6e-05
102.37,0.11524,0.05831,0.02588,0.00883,0.00012,-0.00022,-9e-05,7e-05,0.00018,-7e-05,-6e-05
102.97,0.11524,0.05915,0.02637,0.0091,0.00015,-0.00022,-0.0001,8e-05,0.00019,-6e-05,-6e-05
103.56,0.11524,0.05999,0.02685,0.00937,0.00018,-0.00023,-0.00011,8e-05,0.00021,-5e-05,-7e-05
104.15,0.11524,0.06084,0.02734,0.00965,0.00021,-0.00024,-0.00013,9e-05,0.00022,-5e-05,-7e-05
104.75,0.11524,0.06168,0.02783,0.00993,0.00025,-0.00025,-0.00014,9e-05,0.00024,-4e-05,-7e-05
105.34,0.11524,0.06252,0.02831,0.01021,0.00029,-0.00026,-0.00016,9e-05,0.00025,-3e-05,-8e-05
105.93,0.11524,0.06335,0.0288,0.01049,0.00033,-0.00026,-0.00017,0.0001,0.00026,-2e-05,-8e-05
106.53,0.11524,0.06416,0.02927,0.01077,0.00037,-0.00027,-0.00019,0.0001,0.00027,-1e-05,-8e-05
107.12,0.11524,0.06495,0.02975,0.01106,0.00042,-0.00028,-0.0002,0.0001,0.00028,-7e-06,-8e-05
107.71,0.11524,0.06572,0.03022,0.01135,0.00047,-0.00029,-0.00022,0.0001,0.00029,1e-06,-9e-05
108.31,0.11524,0.06647,0.03069,0.01165,0.00053,-0.0003,-0.00023,0.00011,0.00029,9e-06,-9e-05
108.9,0.11524,0.06721,0.03116,0.01194,0.00059,-0.00031,-0.00024,0.00011,0.0003,2e-05,-9e-05
109.49,0.11524,0.06795,0.03163,0.01224,0.00066,-0.00032,-0.00025,0.00011,0.0003,2e-05,-9e-05
110.09,0.11524,0.06871,0.0321,0.01255,0.00073,-0.00033,-0.00026,0.00011,0.0003,3e-05,-0.0001
110.68,0.11524,0.06948,0.03257,0.01285,0.00081,-0.00033,-0.00028,0.00011,0.00031,4e-05,-0.0001
111.27,0.11524,0.07029,0.03304,0.01316,0.0009,-0.00034,-0.00029,0.00011,0.00031,5e-05,-0.0001
111.87,0.11524,0.07114,0.03351,0.01346,0.001,-0.00035,-0.0003,0.00011,0.00031,6e-05,-0.0001
112.46,0.11524,0.07203,0.03399,0.01377,0.00112,-0.00036,-0.0003,0.00011,0.00031,6e-05,-0.0001
113.05,0.11524,0.07294,0.03447,0.01408,0.00124,-0.00036,-0.00031,0.00011,0.00031,7e-05,-0.00011
113.65,0.11524,0.07387,0.03495,0.0144,0.00139,-0.00037,-0.00032,0.00011,0.00031,8e-05,-0.00011
114.24,0.11524,0.0748,0.03543,0.01471,0.00155,-0.00038,-0.00032,0.0001,0.0003,8e-05,-0.00011
114.84,0.11524,0.07574,0.03592,0.01502,0.00173,-0.00038,-0.00033,0.0001,0.0003,9e-05,-0.00011
115.43,0.11524,0.07667,0.03642,0.01534,0.00194,-0.00039,-0.00033,0.0001,0.0003,0.0001,-0.00012
116.02,0.11524,0.07758,0.03692,0.01566,0.00216,-0.00039,-0.00033,9e-05,0.0003,0.0001,-0.00012
116.62,0.11524,0.07849,0.03743,0.01598,0.0024,-0.00039,-0.00033,9e-05,0.00029,0.00011,-0.00012
117.21,0.11524,0.07939,0.03794,0.0163,0.00265,-0.0004,-0.00033,9e-05,0.00029,0.00011,-0.00012
117.8,0.11524,0.08031,0.03846,0.01663,0.0029,-0.0004,-0.00033,8e-05,0.00029,0.00012,-0.00012
118.4,0.11524,0.08123,0.03899,0.01696,0.00315,-0.0004,-0.00032,8e-05,0.00028,0.00012,-0.00012
118.99,0.11524,0.08218,0.03953,0.01729,0.00339,-0.0004,-0.00032,7e-05,0.00028,0.00013,-0.00013
119.58,0.11524,0.08318,0.04007,0.01762,0.00362,-0.00039,-0.00032,7e-05,0.00028,0.00013,-0.00013
120.18,0.11524,0.08425,0.04063,0.01796,0.00384,-0.00039,-0.00031,6e-05,0.00028,0.00013,-0.00013
120.77,0.11524,0.08541,0.0412,0.0183,0.00406,-0.00038,-0.0003,6e-05,0.00028,0.00014,-0.00013
121.36,0.11524,0.08659,0.04179,0.01864,0.00427,-0.00038,-0.00029,5e-05,0.00027,0.00014,-0.00013
121.96,0.11524,0.0877,0.04239,0.01899,0.00447,-0.00037,-0.00029,5e-05,0.00027,0.00014,-0.00014
122.55,0.11524,0.0887,0.043,0.01935,0.00467,-0.00035,-0.00028,4e-05,0.00027,0.00014,-0.00014
123.14,0.11524,0.08963,0.04363,0.01971,0.00487,-0.00034,-0.00027,3e-05,0.00027,0.00015,-0.00014
123.74,0.11524,0.09052,0.04427,0.02007,0.00507,-0.00032,-0.00026,3e-05,0.00027,0.00015,-0.00014
124.33,0.11524,0.09139,0.04492,0.02044,0.00526,-0.0003,-0.00025,2e-05,0.00027,0.00015,-0.00014
124.92,0.11524,0.09225,0.04558,0.02082,0.00545,-0.00028,-0.00023,2e-05,0.00027,0.00015,-0.00014
